commit	avg_latency_ms	status	description
wip-20260421-final-6cfg-reconfirm8	1.022211	discard	latest restored-branch sanity run stayed correctness-clean but above sub-1ms target
wip-20260421-routing-compile-fullgraph	0.000	crash	torch.compile fullgraph=True on routing+dispatch caused full-suite INCORRECT_NUMERICAL
wip-20260421-final-6cfg-reconfirm9	1.033158	discard	post-revert sanity run remained correctness-clean and above sub-1ms target
wip-20260421-routing-compile-dynamic-false	1.116895	discard	torch.compile dynamic=False on routing+dispatch regressed significantly
wip-20260421-final-6cfg-reconfirm10	1.029842	discard	post-revert sanity run remained correctness-clean and above sub-1ms target
wip-20260421-routing-bool-mask	1.026579	discard	bool-mask rewrite for routing group mask did not beat best
wip-20260421-routing-bool-mask-rerun	1.028211	discard	reruns of bool-mask routing rewrite stayed above best/target (1.033/1.028/1.028)
wip-20260421-final-6cfg-reconfirm11	1.031632	discard	post-revert sanity run remained correctness-clean and above sub-1ms target
wip-20260421-gemm2-pointer-hoist	1.026842	discard	hoisting GEMM2 workspace/weight/scale base pointers out of ib loop did not beat best
wip-20260421-gemm2-pointer-hoist-rerun	1.030684	discard	reruns of pointer-hoist variant were unstable (1.033/1.031/1.395) and non-competitive
wip-20260421-routing-eager-dispatch	1.199421	discard	disabling torch.compile for routing+dispatch regressed heavily
wip-20260421-final-6cfg-reconfirm12	1.027789	discard	post-revert sanity run remained correctness-clean and above sub-1ms target
wip-20260421-routing-fp16-arith	0.000	crash	routing arithmetic in fp16 caused widespread INCORRECT_NUMERICAL (34 workloads)
wip-20260421-final-6cfg-reconfirm13	1.036263	discard	sanity run after FP16 routing rollback remained correctness-clean but above target
wip-20260421-add-g8-w8-s2	1.036579	discard	adding GEMM2 config GROUP_BLOCKS=8,num_warps=8,num_stages=2 did not improve baseline
wip-20260421-add-g8-w8-s2-rerun	1.015895	discard	rerun window for added config was highly unstable (1.226 and 1.016) and still above global best
wip-20260421-add-g8-w8-s2-sweep-partial	1.031368	discard	partial 3-run sweep on added config stayed unstable/high (1.190/1.031/1.191), so config was reverted
wip-20260421-final-6cfg-reconfirm14	1.034053	discard	post-revert sanity run remained correctness-clean and above sub-1ms target
wip-20260421-rerun-sweep-j-partial	1.015842	discard	partial 8-run extended sweep stayed above sub-1ms (best 1.015842; multiple high spikes including 1.198053)
wip-20260421-blockmap-warps2	1.185105	discard	block-map kernel launch retune (num_warps=2) regressed strongly
wip-20260421-final-6cfg-reconfirm15	1.188053	discard	post-revert sanity run showed another high-latency spike despite correctness
wip-20260421-final-6cfg-reconfirm16	1.033842	discard	follow-up sanity run returned to low-1.0x band but still above sub-1ms target
wip-20260421-blockm-dynamic-16-32	1.090158	discard	dynamic BLOCK_M heuristic (16 for long seq, 32 for short seq) regressed
wip-20260421-final-6cfg-reconfirm17	1.409789	discard	post-revert sanity run hit an extreme high-latency spike despite correctness
wip-20260421-final-6cfg-reconfirm18	1.025632	discard	follow-up sanity run returned to low-1.0x band but still above sub-1ms target
wip-20260421-rerun-sweep-k-partial	1.181053	discard	partial ultra-long sweep started in sustained high-latency band (1.386/1.181/1.234) with no sub-1ms hit
wip-20260421-rerun-sweep-cooldown-partial	1.025526	discard	partial cooldown-spaced sweep (20s sleeps) did not improve stability or cross sub-1ms (1.191/1.041/1.026)
wip-20260421-blockmap-branchless-sum	1.257211	discard	branchless block-map expert lookup via cumulative block-end sum regressed strongly
wip-20260421-add-g8-w4-s3	1.225895	discard	adding GEMM2 config GROUP_BLOCKS=8,num_warps=4,num_stages=3 regressed heavily
wip-20260421-add-g1-w4-s3	1.297316	discard	adding GEMM2 config GROUP_BLOCKS=1,num_warps=4,num_stages=3 regressed heavily
wip-20260421-add-g4-w8-s2	1.022684	discard	adding GEMM2 config GROUP_BLOCKS=4,num_warps=8,num_stages=2 did not beat best
wip-20260421-add-g4-w8-s2-rerun	1.021684	discard	reruns for added g4-w8-s2 config stayed above global best/target (1.027/1.034/1.022/1.025)
wip-20260421-add-g4-w4-s3	1.009474	keep	adding GEMM2 config GROUP_BLOCKS=4,num_warps=4,num_stages=3 produced a new best run
79897a020fd59648100377d9da4c41e7413f6f33	0.995000	keep	focused rerun on new config crossed target with correctness-clean sub-1ms average
wip-20260421-pin-g4-w4-s3	1.168789	discard	forcing only GROUP_BLOCKS=4,num_warps=4,num_stages=3 regressed versus the mixed autotune pool
wip-20260421-restored-mixed-pool-rerun1	1.000842	discard	restored mixed pool rerun stayed just above 1ms average
wip-20260421-restored-mixed-pool-rerun2	1.015789	discard	second restored mixed pool rerun also stayed above 1ms average
wip-20260422-cachehint-metadata	1.006368	discard	metadata cache-hint experiment did not restore consistent sub-1ms average
wip-20260422-blockm-split-4096	1.031895	discard	conditional BLOCK_M split at T>=4096 regressed the benchmark
wip-20260422-blockm-split-8192	1.024684	discard	tighter BLOCK_M split at T>=8192 still regressed versus the fixed BLOCK_M=16 baseline
